2016,2017,,2017/11/21,12.94,,,,0.22,0,0.22,0,0,0,0.22,13.9,1.58
2015,2016,,2016/05/24,16.24,,,,0.22,0,0.22,0,0,0,0.22,15.8,1.39
2014,2015,,2015/05/21,16.05,,,,0.22,0,0.22,0,0,0,0.22,15.7,1.4
2013,2014,,2014/05/22,14.12,,,,0.21,0,0.21,0,0,0,0.21,15.3,1.37
2012,2013,,2013/05/23,17.76,,,,0.21,0,0.21,0,0,0,0.21,17.1,1.23
2011,2012,,2012/05/24,14.57,,,,0.21,0,0.21,0,0,0,0.21,14.6,1.44
2010,2011,,2011/05/25,11.21,,,,0.22,0,0.22,0,0,0,0.22,11.8,1.86
2009,2010,,2010/05/25,10.62,,,,0.19,0,0.19,0,0,0,0.19,10.9,1.74
2008,2009,,2009/05/20,9.59,,,,0.21,0,0.21,0,0,0,0.21,9.86,2.13
2007,2008,,2008/05/22,10.79,,,,0.2,0,0.2,0,0,0,0.2,9.85,2.03
2006,2007,,2007/11/27,9.84,,,,0.29,0,0.29,0,0,0,0.29,10.8,2.68
