2016,2017,,2017/08/30,6.31,,,,0.14,0,0.14,0,0,0,0.14,4.93,2.84
2016,2017,,2017/07/31,4.65,,,,0.38,0,0.38,0,0,0,0.38,4.93,7.71
2016,2017,,2017/07/05,4.99,,,,0.13,0,0.13,0,0,0,0.13,4.93,2.64
2015,2016,,2016/07/04,4.1,,,,0.7,0,0.7,0,0,0,0.7,4.06,17.24
2014,2015,,2015/06/24,4.16,,,,0.42,0,0.42,0,0,0,0.42,3.86,10.88
2013,2014,,2014/07/03,3.24,,,,0.29,0,0.29,0,0,0,0.29,3.32,8.73
2012,2013,,2013/06/26,2.79,,,,0.17,0,0.17,0,0,0,0.17,2.81,6.05
2011,2012,,2012/05/29,3,,,,0.35,0,0.35,0,0,0,0.35,3.25,10.77
2010,2011,2011/06/03,2011/05/26,6.64,,,,0.32,0,0.32,0,0,0,0.32,5.72,5.59
2009,2010,2010/05/28,2010/05/19,10.15,,,,0.46,0,0.46,0,0,0,0.46,9.57,4.81
2008,2009,,2009/10/19,12.85,,,,0.15,0,0.15,0,0,0,0.15,11.3,1.32
