2015,2016,,2016/04/27,13.87,,,,0.37,0,0.37,0,0,0,0.37,14,2.65
2014,2015,,2015/04/16,13.7,,,,0.37,0,0.37,0,0,0,0.37,13.8,2.67
2013,2014,,2014/04/17,12.71,,,,0.37,0,0.37,0,0,0,0.37,13.2,2.81
2012,2013,,2013/04/17,15.56,,,,0.35,0,0.35,0,0,0,0.35,14.7,2.38
2011,2012,,2012/04/19,12.75,,,,0.39,0,0.39,0,0,0,0.39,12.6,3.1
2010,2011,,2011/04/19,10.11,,,,0.38,0,0.38,0,0,0,0.38,10.4,3.65
2009,2010,,2010/04/21,9.59,,,,0.37,0,0.37,0,0,0,0.37,9.93,3.73
2008,2009,,2009/04/29,8.39,,,,0.39,0,0.39,0,0,0,0.39,9.13,4.27
2007,2008,,2008/03/26,10.23,,,,0.39,0,0.39,0,0,0,0.39,9.39,4.15
2006,2007,,2007/04/03,11.54,,,,0.38,0,0.38,0,0,0,0.38,10.8,3.53
